seed,orders,quality,skip_budget,human_model,status,target,target_verb,target_obj,wait_seconds,wait_censored,tasks_before,verbs_before,durations_before,ai_idle_seconds_while_waiting,ai_idle_pct_while_waiting,exec_rank,natural_rank,rank_gain,plan_owner,wait_any_seconds,wait_any_censored,done_by_other,served,completed,makespan_actual_s,human_idle_pct,wall_seconds
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,bad,0,greedy,ok,chop_banana,chop,banana,0.0,0,0,,,0.0,0.0,1,4,3,AI,2.5,0,0,3,1,31.6,56.6,22.3
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,good,4,greedy,ok,chop_tomato,chop,tomato,27.5,1,8,chop|chop|chop|cook|chop|handover|handover|chop,2.1|3.4|3.4|1.9|0.7|2.0|12.9|0.8,0.3,1.1,,,,人,5.1,0,1,3,1,27.5,49.1,20.8
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,2,greedy,ok,chop_tomato,chop,tomato,27.5,1,8,chop|chop|chop|cook|chop|handover|handover|chop,2.1|3.4|3.4|1.9|0.7|2.0|12.9|0.8,0.3,1.1,,,,人,5.1,0,1,3,1,27.5,49.1,21.2
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,good,0,greedy,ok,chop_lettuce,chop,lettuce,0.0,0,0,,,0.0,0.0,1,4,3,AI,1.7,0,0,0,0,100.0,0.0,70.1
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,4,greedy,ok,mix_orange_bananajuice,mix,orange-banana juice,27.9,1,7,chop|chop|chop|cook|handover|handover|chop,2.4|3.6|3.1|1.9|11.9|3.7|1.0,0.0,0.0,,,,人,17.5,0,1,3,1,27.9,52.7,22.6
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,2,greedy,ok,handover_lettuce_onionsoup,handover,lettuce-onion soup,8.5,0,9,chop|chop|chop|chop|chop|chop|chop|chop|cook,1.7|0.4|0.3|0.3|0.6|1.4|0.4|2.6|0.8,0.0,0.0,10,6,-4,AI,0.3,0,0,2,0,100.0,90.9,67.2
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,random,0,greedy,ok,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,100.0,1,4,chop|chop|chop|chop,1.7|2.7|0.4|2.9,90.9,90.9,,,,人,12.0,0,1,2,0,100.0,90.6,57.7
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,4,greedy,ok,chop_orange,chop,orange,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,4.9,0,0,3,1,26.7,51.3,20.3
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,2,greedy,ok,chop_apple,chop,apple,1.7,0,1,chop,1.7,0.0,0.0,2,2,0,AI,4.5,0,0,3,1,27.0,54.1,18.8
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,0,greedy,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,2,1,AI,2.1,0,0,3,1,42.7,41.9,26.8
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,4,greedy,ok,chop_tomato,chop,tomato,26.7,1,7,chop|chop|chop|chop|cook|chop|handover,1.7|3.0|2.5|0.9|1.2|2.6|13.7,0.8,3.0,,,,人,5.1,0,1,3,1,26.7,49.8,18.0
