map,preset,seed,quality,skip_budget,status,orders,num_tasks,num_candidates,target,target_verb,target_obj,target_serves_soup,natural_rank,natural_rank_agent,excess,makespan_baseline_s,makespan_constrained_s,loss_s,constrained_rank,inserted_count,inserted_total_s,inserted_durations_s,baseline_status,constrained_status,baseline_solve_s,constrained_solve_s
experiment,experiment2,10,good,2,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0061,0.0136
experiment,experiment2,10,good,4,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.0123
experiment,experiment2,10,bad,0,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,3,0,3,20.3,24.7,4.4,0,0,0,,OPTIMAL,OPTIMAL,0.0061,0.0055
experiment,experiment2,10,bad,2,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,3,0,1,20.3,20.3,0.0,2,2,2.4,2.0|0.4,OPTIMAL,OPTIMAL,0.0059,0.0083
experiment,experiment2,10,bad,4,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,3,0,0,20.3,20.3,0.0,3,3,5.1,2.0|0.4|2.7,OPTIMAL,OPTIMAL,0.0073,0.0099
experiment,experiment2,10,random,0,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,serve_salad_lettuce_tomatosalad,serve_salad,lettuce-tomato salad,0,3,1,3,20.3,26.3,6.0,0,0,0,,OPTIMAL,OPTIMAL,0.0083,0.0087
experiment,experiment2,10,random,2,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,serve_salad_lettuce_tomatosalad,serve_salad,lettuce-tomato salad,0,3,1,1,20.3,20.3,0.0,1,1,2.0,2.0,OPTIMAL,OPTIMAL,0.0082,0.0137
experiment,experiment2,10,random,4,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,serve_salad_lettuce_tomatosalad,serve_salad,lettuce-tomato salad,0,3,1,0,20.3,20.3,0.0,3,3,5.1,2.0|1.8|1.3,OPTIMAL,OPTIMAL,0.0067,0.0138
experiment,experiment2,11,good,0,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,12,11,chop_lettuce,chop,lettuce,1,0,0,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.0105
experiment,experiment2,11,good,2,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,12,11,chop_lettuce,chop,lettuce,1,0,0,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0067,0.0142
